website,text,image_url
flipkart,Search Icon,
flipkart,New customer?Sign Up,
flipkart,New customer?,
flipkart,Sign Up,
flipkart,My Profile,
flipkart,Flipkart Plus Zone,
flipkart,Orders,
flipkart,Wishlist,
flipkart,Rewards,
flipkart,Gift Cards,
flipkart,Become a Seller,
flipkart,Notification Preferences,
flipkart,24x7 Customer Care,
flipkart,Advertise,
flipkart,Download App,
flipkart,Grocery,
flipkart,Grocery,
flipkart,Grocery,
flipkart,Mobiles,
flipkart,Mobiles,
flipkart,Mobiles,
flipkart,Fashion,
flipkart,Fashion,
flipkart,Electronics,
flipkart,Electronics,
flipkart,Home & Furniture,
flipkart,Home & Furniture,
flipkart,Appliances,
flipkart,Appliances,
flipkart,Appliances,
flipkart,Flight Bookings,
flipkart,Flight Bookings,
flipkart,Flight Bookings,
flipkart,"Beauty, Toys & More",
flipkart,"Beauty, Toys & More",
flipkart,Two Wheelers,
flipkart,Two Wheelers,
flipkart,Best Truewireless HeadphonesGrab Now,
flipkart,BenQ MonitorsFrom ₹9990,
flipkart,MonitorsFrom ₹9999,
flipkart,"Noise SmartwatchesFrom ₹1,099",
flipkart,MonitorsFrom ₹6599,
flipkart,Best Selling Mobile SpeakersFrom ₹499*,
flipkart,"Fastrack SmartwatchesFrom ₹1,399",
flipkart,ProjectorFrom ₹6990,
flipkart,Coffee PowderUpto 80% Off,
flipkart,Soft ToysUpto 70% Off,
flipkart,Geared CyclesUp to 70% Off,
flipkart,Remote Control ToysUp to 80% Off,
flipkart,Top Selling StationeryFrom ₹49,
flipkart,Best of Action ToysUp to 70% Off,
flipkart,Electric CycleUp to 40% Off,
flipkart,Gym EssentialsFrom ₹139,
flipkart,Dry FruitsUpto 75% Off,
flipkart,Non-Geared CyclesUp to 40% Off,
flipkart,Food SpreadsUpto 75% Off,
flipkart,"Treadmill, Exercise Bikes & MoreUp to 70% Off",
flipkart,Yoga MatFrom ₹ 159,
flipkart,Puzzles & CubesFrom ₹ 79,
flipkart,Tea PowderUpto 75% Off,
flipkart,Breakfast CerealUpto 75% Off,
flipkart,Brand Directory,
flipkart,Most searched for on Flipkart:,
flipkart,Aadi Sale,
flipkart,Nothing Phone 3,
flipkart,vivo X200 Fe,
flipkart,vivo X Fold 5,
flipkart,MOTOROLA Edge 60 5G,
flipkart,SAMSUNG Galaxy S25 Edge,
flipkart,MOTOROLA Razr 60,
flipkart,CMF Phone 2 Pro,
flipkart,Google Pixel 9A,
flipkart,SAMSUNG F16,
flipkart,Mobile,
flipkart,POCO M7,
flipkart,Nothing Phone 3a,
flipkart,iPhone 16e,
flipkart,SAMSUNG Galaxy S25 Ultra,
flipkart,SAMSUNG Galaxy S25 Plus,
flipkart,SAMSUNG Galaxy S25,
flipkart,iPhone 16,
flipkart,iPhone 16 Plus,
flipkart,iPhone 16 Pro,
flipkart,iPhone 16 Pro Max,
flipkart,vivo V50,
flipkart,OPPO Reno13 Pro,
flipkart,POCO X7,
flipkart,realme 14 Pro Plus,
flipkart,REDMI Note 14 Pro+ 5G,
flipkart,OPPO Find X8,
flipkart,Flipkart Exchange,
flipkart,Sell Old Phone,
flipkart,Nothing Phone 2a Plus,
flipkart,CMF by Nothing Phone 1,
flipkart,Infinix Note 40 Pro 5G,
flipkart,iPhone 15,
flipkart,Infinix Note 40 5G,
flipkart,iPhone 15 Plus,
flipkart,vivo X Fold3 Pro,
flipkart,Motorola g04s,
flipkart,Vivo x 100,
flipkart,OnePlus Nord CE 3 Lite 5G,
flipkart,SAMSUNG Flip5,
flipkart,SAMSUNG Fold5,
flipkart,Flipkart Axis Bank Super Elite Credit card,
flipkart,5G Mobile Phones,
flipkart,Moto Edge 40,
flipkart,Grievance Redressal,
flipkart,Help Centre,
flipkart,Track Orders,
flipkart,Manage Orders,
flipkart,Return Orders,
flipkart,Gift Cards Store,
flipkart,Flipkart Axis Bank Credit Card,
flipkart,Mobiles,
flipkart,Motorola g64 5G,
flipkart,OPPO Reno 12,
flipkart,Motorola Edge 50 Fusion,
flipkart,REDMI 12 5G,
flipkart,REDMI Note 13 5G,
flipkart,Realme 12+  5G,
flipkart,POCO C65,
flipkart,Motorola G84,
flipkart,Realme C53,
flipkart,Infinix Smart 8,
flipkart,Samsung Galaxy S23 5G,
flipkart,Samsung Galaxy S21 FE 5G Qualcomm,
flipkart,vivo V30,
flipkart,Samsung Galaxy S24 5G,
flipkart,Samsung Galaxy S24+ 5G,
flipkart,iPhone 12 64GB,
flipkart,iPhone 12 Pro 512GB,
flipkart,iPhone 12 128GB,
flipkart,SAMSUNG Galaxy S21 FE 5G,
flipkart,Infinix HOT 30i,
flipkart,Realme 10 Pro 5G,
flipkart,REDMI Note 12 Pro 5G,
flipkart,Motorola 5g Phone,
flipkart,Realme 5g Smartphone,
flipkart,Apple 5g Phone,
flipkart,Iqoo 5g Phones,
flipkart,Oneplus 5g Phones,
flipkart,Vivo 5g Phones,
flipkart,Oppo 5g Smart Phones,
flipkart,4G Mobile,
flipkart,Nokia Mobile,
flipkart,Samsung Mobile,
flipkart,iphone,
